Pedido,Data Pedido,Data Saída,Previsão Entrega,Data Entrega,Comprador,Materia Prima,Quantidade,Desconto (%),Fornecedor
1288,8/21/2019,8/22/2019,9/12/2019,9/13/2019,1,10,38,0,3
1289,8/21/2019,8/30/2019,9/13/2019,9/14/2019,1,9,246,0,3
1290,8/22/2019,8/22/2019,9/21/2019,9/25/2019,1,7,225,0,4
1291,8/22/2019,8/31/2019,9/1/2019,9/4/2019,4,5,246,0,3
1292,8/22/2019,8/22/2019,8/30/2019,8/30/2019,4,5,58,14,2
1293,8/22/2019,8/22/2019,9/3/2019,9/2/2019,4,9,514,0,4
1294,8/22/2019,8/23/2019,9/13/2019,9/14/2019,1,2,57,0,3
1295,8/22/2019,9/2/2019,9/6/2019,9/8/2019,1,5,138,0,1
1296,8/22/2019,8/28/2019,9/4/2019,9/6/2019,2,5,76,0,2
1297,8/22/2019,8/22/2019,9/11/2019,9/14/2019,1,5,61,0,2
1298,8/22/2019,9/3/2019,9/6/2019,9/9/2019,2,7,64,0,1
1299,8/22/2019,8/23/2019,9/22/2019,9/25/2019,1,3,292,0,3
1300,8/22/2019,8/31/2019,9/14/2019,9/15/2019,1,5,124,15,3
1301,8/23/2019,9/2/2019,9/2/2019,9/3/2019,4,11,9,0,1
1302,8/23/2019,8/31/2019,9/2/2019,9/6/2019,4,1,43,0,2
1303,8/23/2019,8/23/2019,9/1/2019,9/1/2019,4,5,395,0,5
1304,8/23/2019,8/31/2019,9/2/2019,9/6/2019,4,8,194,0,2
1305,8/23/2019,8/25/2019,8/28/2019,8/31/2019,4,8,141,0,3
1306,8/23/2019,9/2/2019,9/5/2019,9/5/2019,4,5,5,0,3
1307,8/23/2019,8/23/2019,9/6/2019,9/7/2019,3,5,92,0,2
1308,8/23/2019,9/1/2019,9/3/2019,9/6/2019,3,5,7,0,3
1309,8/23/2019,8/25/2019,9/2/2019,9/6/2019,3,5,41,0,2
1310,8/23/2019,8/23/2019,9/4/2019,9/9/2019,1,8,48,0,2
1311,8/23/2019,9/3/2019,9/18/2019,9/20/2019,2,11,3,0,1
1312,8/23/2019,8/26/2019,9/18/2019,9/20/2019,1,8,46,0,4
1313,8/23/2019,9/1/2019,9/25/2019,9/25/2019,1,9,167,0,2
1314,8/24/2019,9/1/2019,9/2/2019,9/2/2019,4,5,194,0,1
1315,8/24/2019,8/30/2019,9/1/2019,9/3/2019,4,9,88,0,2
1316,8/24/2019,9/1/2019,9/4/2019,9/4/2019,4,9,72,0,2
1317,8/24/2019,9/2/2019,9/4/2019,9/8/2019,4,11,362,0,2
1318,8/24/2019,8/31/2019,9/1/2019,9/5/2019,4,10,34,0,2
1319,8/24/2019,8/24/2019,9/4/2019,9/11/2019,4,5,94,0,4
1320,8/24/2019,8/24/2019,9/10/2019,9/15/2019,1,9,171,0,4
1321,8/24/2019,8/24/2019,9/7/2019,9/8/2019,3,1,269,0,2
1322,8/24/2019,9/1/2019,9/16/2019,9/19/2019,1,5,28,0,2
1323,8/25/2019,9/6/2019,9/20/2019,9/23/2019,1,5,45,0,1
1324,8/25/2019,8/31/2019,9/1/2019,9/2/2019,4,9,279,0,2
1325,8/25/2019,9/2/2019,9/4/2019,9/11/2019,4,10,235,0,2
1326,8/25/2019,9/3/2019,9/5/2019,9/7/2019,4,3,26,0,3
1327,8/25/2019,9/2/2019,9/12/2019,9/10/2019,1,8,294,0,2
1328,8/25/2019,8/26/2019,9/13/2019,9/13/2019,1,8,15,0,3
1329,8/25/2019,9/2/2019,9/7/2019,9/9/2019,2,9,130,0,2
1330,8/25/2019,9/3/2019,9/8/2019,9/12/2019,2,5,80,0,2
1331,8/25/2019,8/25/2019,9/14/2019,9/17/2019,1,7,46,0,2
1332,8/26/2019,9/4/2019,9/7/2019,9/8/2019,4,6,519,0,2
1333,8/26/2019,8/31/2019,9/1/2019,9/6/2019,4,11,207,0,2
1334,8/26/2019,8/27/2019,9/15/2019,9/15/2019,1,11,339,0,3
1335,8/26/2019,8/28/2019,9/9/2019,9/10/2019,1,1,66,0,2
1336,8/26/2019,8/28/2019,9/11/2019,9/11/2019,3,9,375,0,2
1337,8/26/2019,9/3/2019,9/26/2019,9/25/2019,1,7,454,0,2
1338,8/27/2019,9/5/2019,9/6/2019,9/6/2019,4,2,57,0,3
1339,8/27/2019,8/29/2019,9/4/2019,9/4/2019,4,11,3,0,4
1340,8/27/2019,9/3/2019,9/4/2019,9/6/2019,4,7,120,0,2
1341,8/27/2019,8/28/2019,9/2/2019,9/5/2019,4,11,148,0,3
1342,8/27/2019,8/27/2019,9/16/2019,9/18/2019,1,6,412,0,5
1343,8/27/2019,9/1/2019,9/9/2019,9/9/2019,1,10,176,0,2
1344,8/27/2019,8/27/2019,9/11/2019,9/15/2019,1,1,303,0,2
1345,8/27/2019,8/29/2019,9/19/2019,9/20/2019,1,5,259,0,3
1346,8/28/2019,9/5/2019,9/5/2019,9/10/2019,4,5,29,21,3
1347,8/28/2019,8/30/2019,9/3/2019,9/4/2019,4,7,13,0,2
1348,8/28/2019,8/28/2019,9/8/2019,9/10/2019,1,9,119,0,2
1349,8/28/2019,9/8/2019,9/8/2019,9/9/2019,2,4,24,0,1
1350,8/28/2019,8/29/2019,9/16/2019,9/17/2019,1,11,74,0,4
1351,8/28/2019,8/28/2019,9/28/2019,10/1/2019,1,10,576,0,2
1352,8/29/2019,8/29/2019,9/28/2019,10/1/2019,1,7,226,0,2
1353,8/29/2019,8/29/2019,9/5/2019,9/8/2019,4,4,225,0,2
1354,8/29/2019,8/29/2019,9/5/2019,9/6/2019,4,5,23,0,2
1355,8/29/2019,8/30/2019,9/4/2019,9/9/2019,4,4,77,0,3
1356,8/29/2019,9/7/2019,9/25/2019,9/25/2019,1,11,582,14,2
1357,8/30/2019,9/3/2019,10/1/2019,10/3/2019,1,1,24,0,1
1358,8/30/2019,8/31/2019,9/8/2019,9/8/2019,4,11,123,0,3
1359,8/30/2019,9/6/2019,9/10/2019,9/14/2019,2,5,137,0,2
1360,8/30/2019,8/30/2019,9/13/2019,9/13/2019,2,11,316,0,4
1361,8/30/2019,8/31/2019,9/13/2019,9/15/2019,1,1,295,0,4
1362,8/30/2019,9/3/2019,9/14/2019,9/13/2019,1,5,324,0,1
1363,8/30/2019,9/1/2019,9/24/2019,9/26/2019,1,11,329,0,2
1364,8/30/2019,9/7/2019,9/27/2019,9/30/2019,1,1,1,0,2
1365,8/30/2019,9/2/2019,9/22/2019,9/26/2019,1,1,32,0,1
1366,8/31/2019,9/9/2019,9/12/2019,9/15/2019,4,7,59,0,2
1367,8/31/2019,9/11/2019,9/12/2019,9/17/2019,4,3,581,0,1
1368,8/31/2019,8/31/2019,9/7/2019,9/9/2019,4,5,428,0,4
1369,8/31/2019,9/7/2019,9/11/2019,9/15/2019,4,6,1,0,5
1370,8/31/2019,9/9/2019,9/10/2019,9/17/2019,4,1,98,0,3
1371,8/31/2019,9/10/2019,9/10/2019,9/13/2019,4,1,95,0,1
1372,8/31/2019,9/4/2019,9/7/2019,9/8/2019,4,10,507,0,1
1373,8/31/2019,9/8/2019,9/10/2019,9/14/2019,4,7,103,0,3
1374,8/31/2019,9/6/2019,9/18/2019,9/17/2019,1,5,97,0,3
1375,8/31/2019,9/6/2019,9/14/2019,9/19/2019,3,7,412,0,2
1376,9/1/2019,9/4/2019,9/26/2019,9/29/2019,1,4,213,0,4
1377,9/1/2019,9/8/2019,9/10/2019,9/17/2019,4,9,193,0,2
1378,9/1/2019,9/5/2019,9/8/2019,9/11/2019,4,7,334,0,2
1379,9/1/2019,9/1/2019,9/7/2019,9/11/2019,4,7,465,0,5
1380,9/1/2019,9/1/2019,9/7/2019,9/12/2019,4,9,41,0,2
1381,9/1/2019,9/2/2019,9/11/2019,9/15/2019,1,8,7,0,2
1382,9/1/2019,9/4/2019,9/16/2019,9/17/2019,1,9,58,0,3
1383,9/1/2019,9/1/2019,9/16/2019,9/20/2019,1,2,106,0,2
1384,9/1/2019,9/1/2019,9/15/2019,9/17/2019,1,5,79,0,2
1385,9/1/2019,9/9/2019,9/17/2019,9/19/2019,1,4,446,0,3
1386,9/1/2019,9/12/2019,9/15/2019,9/17/2019,3,7,644,0,1
1387,9/1/2019,9/9/2019,9/19/2019,9/17/2019,3,7,407,0,1
1388,9/1/2019,9/13/2019,9/22/2019,9/25/2019,1,8,48,0,1
1389,9/2/2019,9/2/2019,9/9/2019,9/14/2019,4,6,272,0,5
1390,9/2/2019,9/12/2019,9/13/2019,9/19/2019,4,5,276,36,3
1391,9/2/2019,9/2/2019,9/8/2019,9/10/2019,4,5,5,0,5
1392,9/2/2019,9/2/2019,9/9/2019,9/11/2019,4,9,74,0,5
1393,9/2/2019,9/2/2019,9/21/2019,9/24/2019,1,9,206,0,4
1394,9/2/2019,9/3/2019,9/28/2019,9/30/2019,3,7,15,0,3
1395,9/2/2019,9/3/2019,9/18/2019,9/22/2019,2,10,2,0,3
1396,9/3/2019,9/3/2019,9/10/2019,9/9/2019,4,7,170,0,5
1397,9/3/2019,9/4/2019,9/10/2019,9/13/2019,4,1,67,0,4
1398,9/3/2019,9/8/2019,9/11/2019,9/13/2019,4,10,9,0,4
1399,9/3/2019,9/3/2019,9/10/2019,9/10/2019,4,5,314,0,4
1400,9/3/2019,9/4/2019,9/11/2019,9/11/2019,4,9,179,0,3
1401,9/3/2019,9/3/2019,9/19/2019,9/21/2019,2,6,53,0,2
1402,9/3/2019,9/4/2019,9/30/2019,10/2/2019,1,7,3,0,3
1403,9/3/2019,9/4/2019,9/21/2019,9/21/2019,1,4,84,0,3
1404,9/3/2019,9/7/2019,9/27/2019,9/28/2019,1,5,187,0,1
1405,9/4/2019,9/7/2019,9/11/2019,9/12/2019,4,7,22,0,1
1406,9/4/2019,9/7/2019,9/9/2019,9/13/2019,4,8,249,0,3
1407,9/4/2019,9/4/2019,9/17/2019,9/19/2019,4,6,113,0,4
1408,9/4/2019,9/13/2019,9/25/2019,9/26/2019,1,9,529,0,2
1409,9/4/2019,9/12/2019,9/23/2019,9/25/2019,1,4,75,0,2
1410,9/4/2019,9/12/2019,9/29/2019,10/1/2019,1,4,24,0,3
1411,9/4/2019,9/4/2019,10/3/2019,10/5/2019,1,9,327,0,2
1412,9/5/2019,9/5/2019,10/6/2019,10/10/2019,1,5,407,0,2
1413,9/5/2019,9/14/2019,9/17/2019,9/23/2019,4,11,313,0,2
1414,9/5/2019,9/12/2019,9/14/2019,9/19/2019,4,4,36,0,2
1415,9/5/2019,9/6/2019,9/11/2019,9/15/2019,4,2,55,0,3
1416,9/5/2019,9/13/2019,9/25/2019,9/29/2019,1,7,3,0,2
1417,9/5/2019,9/5/2019,9/18/2019,9/19/2019,3,6,85,0,2
1418,9/5/2019,9/13/2019,9/21/2019,9/22/2019,3,11,150,0,5
1419,9/5/2019,9/10/2019,9/22/2019,9/24/2019,2,9,193,0,5
1420,9/5/2019,9/17/2019,9/18/2019,9/19/2019,2,5,81,17,1
1421,9/5/2019,9/18/2019,9/24/2019,9/24/2019,1,9,23,0,1
1422,9/5/2019,9/8/2019,10/8/2019,10/9/2019,1,9,219,0,2
1423,9/5/2019,9/5/2019,9/22/2019,9/24/2019,1,1,89,0,2
1424,9/6/2019,9/9/2019,9/13/2019,9/16/2019,4,7,111,0,3
1425,9/6/2019,9/10/2019,9/13/2019,9/12/2019,4,8,59,0,1
1426,9/6/2019,9/6/2019,9/13/2019,9/13/2019,4,10,190,0,2
1427,9/6/2019,9/7/2019,9/14/2019,9/13/2019,4,5,16,0,3
1428,9/6/2019,9/9/2019,10/5/2019,10/7/2019,1,5,29,0,4
1429,9/7/2019,9/16/2019,9/19/2019,9/23/2019,4,1,147,0,3
1430,9/7/2019,9/12/2019,9/13/2019,9/14/2019,4,11,52,0,2
1431,9/7/2019,9/16/2019,9/25/2019,9/27/2019,1,10,121,0,2
1432,9/7/2019,9/17/2019,9/27/2019,9/28/2019,1,5,49,0,1
1433,9/7/2019,9/16/2019,9/26/2019,9/29/2019,1,6,84,0,1
1434,9/7/2019,9/18/2019,9/24/2019,9/24/2019,2,11,40,0,1
1435,9/7/2019,9/10/2019,10/8/2019,10/13/2019,1,6,244,0,3
1436,9/7/2019,9/7/2019,9/28/2019,9/29/2019,1,8,326,0,5
1437,9/7/2019,9/17/2019,9/29/2019,9/30/2019,1,8,246,0,3
1438,9/8/2019,9/8/2019,10/6/2019,10/8/2019,1,8,107,0,2
1439,9/8/2019,9/16/2019,9/20/2019,9/20/2019,4,8,114,0,2
1440,9/8/2019,9/8/2019,9/14/2019,9/16/2019,4,7,528,0,2
1441,9/8/2019,9/11/2019,9/13/2019,9/17/2019,4,5,28,0,4
1442,9/8/2019,9/12/2019,9/23/2019,9/26/2019,1,3,12,0,4
1443,9/8/2019,9/10/2019,9/23/2019,9/25/2019,3,11,45,0,2
1444,9/9/2019,9/17/2019,10/6/2019,10/5/2019,1,9,83,0,2
1445,9/9/2019,9/11/2019,9/24/2019,9/27/2019,2,5,156,0,2
1446,9/9/2019,9/10/2019,10/3/2019,10/4/2019,3,9,437,11,3
1447,9/9/2019,9/9/2019,10/2/2019,10/7/2019,2,5,159,0,2
1448,9/9/2019,9/16/2019,10/8/2019,10/11/2019,1,11,468,0,2
1449,9/9/2019,9/9/2019,10/2/2019,10/6/2019,1,11,7,0,2
1450,9/10/2019,9/10/2019,9/17/2019,9/12/2019,4,8,85,0,4
1451,9/10/2019,9/19/2019,10/10/2019,10/11/2019,1,9,373,0,3
1452,9/10/2019,9/19/2019,9/20/2019,9/24/2019,4,9,498,0,3
1453,9/10/2019,9/10/2019,9/19/2019,9/19/2019,4,5,23,0,4
1454,9/10/2019,9/20/2019,9/29/2019,10/1/2019,1,7,90,0,1
1455,9/10/2019,9/20/2019,10/3/2019,10/4/2019,1,7,512,0,3
1456,9/11/2019,9/11/2019,10/10/2019,10/9/2019,1,7,328,0,2
1457,9/11/2019,9/16/2019,9/22/2019,9/23/2019,4,6,290,0,5
1458,9/11/2019,9/23/2019,9/25/2019,9/29/2019,1,8,263,0,1
1459,9/11/2019,9/20/2019,9/23/2019,9/21/2019,2,5,434,0,2
1460,9/11/2019,9/20/2019,9/26/2019,9/29/2019,3,3,17,0,1
1461,9/12/2019,9/12/2019,10/14/2019,10/19/2019,1,7,177,0,2
1462,9/12/2019,9/13/2019,10/13/2019,10/18/2019,1,9,46,0,4
1463,9/12/2019,9/21/2019,9/24/2019,9/23/2019,4,7,108,0,3
1464,9/12/2019,9/20/2019,9/21/2019,9/27/2019,4,10,110,0,3
1465,9/12/2019,9/12/2019,9/18/2019,9/20/2019,4,8,91,0,2
1466,9/12/2019,9/13/2019,9/17/2019,9/21/2019,4,5,580,31,3
1467,9/12/2019,9/21/2019,9/22/2019,9/28/2019,4,10,71,0,3
1468,9/12/2019,9/13/2019,9/23/2019,9/25/2019,1,7,7,0,3
1469,9/12/2019,9/14/2019,9/29/2019,9/30/2019,1,7,419,0,2
1470,9/12/2019,9/18/2019,9/28/2019,9/30/2019,2,1,205,0,2
1471,9/12/2019,9/17/2019,10/8/2019,10/10/2019,2,8,77,0,1
1472,9/12/2019,9/12/2019,10/14/2019,10/14/2019,1,5,40,0,2
1473,9/13/2019,9/21/2019,10/14/2019,10/11/2019,1,5,26,34,3
1474,9/13/2019,9/24/2019,9/24/2019,9/25/2019,4,8,14,0,1
1475,9/13/2019,9/22/2019,9/23/2019,9/29/2019,4,5,60,0,3
1476,9/13/2019,9/22/2019,9/25/2019,9/25/2019,4,5,69,0,2
1477,9/13/2019,9/15/2019,9/27/2019,9/29/2019,2,11,32,0,1
1478,9/13/2019,9/18/2019,10/6/2019,10/8/2019,1,8,415,0,2
1479,9/14/2019,9/14/2019,9/20/2019,9/22/2019,4,4,381,0,5
1480,9/14/2019,9/22/2019,9/23/2019,9/30/2019,4,9,70,0,2
1481,9/14/2019,9/20/2019,9/22/2019,9/22/2019,4,5,427,0,2
1482,9/14/2019,9/19/2019,9/21/2019,9/22/2019,4,9,72,0,1
1483,9/14/2019,9/20/2019,9/30/2019,10/1/2019,1,4,99,0,2
1484,9/14/2019,9/24/2019,10/2/2019,10/3/2019,1,11,194,0,3
1485,9/14/2019,9/21/2019,10/2/2019,10/4/2019,1,7,30,0,1
1486,9/14/2019,9/22/2019,10/13/2019,10/17/2019,1,1,66,0,3
1487,9/14/2019,9/14/2019,10/3/2019,10/4/2019,1,9,138,0,2
1488,9/14/2019,9/15/2019,10/5/2019,10/6/2019,1,11,313,0,3
1489,9/15/2019,9/15/2019,9/22/2019,9/20/2019,4,5,34,0,2
1490,9/15/2019,9/17/2019,9/22/2019,9/23/2019,4,8,224,0,1
1491,9/15/2019,9/20/2019,9/20/2019,9/24/2019,4,8,66,0,1
1492,9/15/2019,9/19/2019,9/22/2019,9/23/2019,4,6,377,0,1
1493,9/15/2019,9/16/2019,9/20/2019,9/23/2019,4,6,90,0,3
1494,9/15/2019,9/19/2019,9/22/2019,9/25/2019,4,9,297,0,1
1495,9/15/2019,9/23/2019,10/2/2019,10/3/2019,1,1,444,0,2
1496,9/15/2019,9/23/2019,9/28/2019,10/1/2019,2,7,137,0,3
1497,9/15/2019,9/22/2019,10/10/2019,10/10/2019,2,7,468,0,2
1498,9/15/2019,9/15/2019,10/4/2019,10/5/2019,1,7,258,0,2
1499,9/15/2019,9/24/2019,10/16/2019,10/18/2019,1,7,47,0,2
1500,9/15/2019,9/17/2019,10/11/2019,10/12/2019,1,11,129,0,2
1501,9/15/2019,9/19/2019,10/6/2019,10/9/2019,1,11,210,0,1
1502,9/16/2019,9/24/2019,9/28/2019,9/27/2019,4,8,309,0,2
1503,9/16/2019,9/24/2019,9/26/2019,9/28/2019,4,6,406,0,2
1504,9/16/2019,9/17/2019,9/25/2019,9/23/2019,4,1,2,0,2
1505,9/16/2019,9/19/2019,9/22/2019,9/24/2019,4,9,117,0,3
1506,9/16/2019,9/16/2019,9/23/2019,9/26/2019,4,9,4,0,2
1507,9/16/2019,9/16/2019,9/22/2019,9/26/2019,4,5,72,34,2
1508,9/16/2019,9/20/2019,9/30/2019,9/30/2019,2,9,4,0,1
1509,9/16/2019,9/24/2019,10/1/2019,10/4/2019,1,1,13,0,2
1510,9/16/2019,9/25/2019,10/9/2019,10/10/2019,1,2,320,0,3
1511,9/17/2019,9/17/2019,9/24/2019,9/23/2019,4,9,247,0,4
1512,9/17/2019,9/19/2019,10/16/2019,10/17/2019,1,5,340,0,4
1513,9/17/2019,9/24/2019,10/18/2019,10/18/2019,1,4,53,0,2
1514,9/17/2019,9/18/2019,9/24/2019,9/26/2019,4,5,269,0,3
1515,9/17/2019,9/20/2019,9/22/2019,9/23/2019,4,6,454,0,2
1516,9/17/2019,10/1/2019,10/6/2019,10/8/2019,1,7,210,29,1
1517,9/17/2019,9/24/2019,9/30/2019,10/3/2019,3,9,186,0,5
1518,9/18/2019,9/26/2019,9/28/2019,10/2/2019,4,1,115,0,3
1519,9/18/2019,9/20/2019,10/21/2019,10/21/2019,1,5,38,0,4
1520,9/18/2019,9/21/2019,9/24/2019,9/25/2019,4,1,208,0,1
1521,9/18/2019,9/18/2019,9/26/2019,9/26/2019,4,1,59,0,2
1522,9/18/2019,9/27/2019,10/7/2019,10/8/2019,1,5,231,0,3
1523,9/18/2019,9/19/2019,10/8/2019,10/12/2019,1,7,73,0,3
1524,9/18/2019,9/27/2019,10/8/2019,10/8/2019,1,9,313,0,3
1525,9/18/2019,9/27/2019,10/4/2019,10/5/2019,1,9,402,0,3
1526,9/18/2019,9/26/2019,10/14/2019,10/17/2019,2,3,121,0,2
1527,9/19/2019,9/28/2019,9/30/2019,10/2/2019,4,7,186,0,2
1528,9/19/2019,9/23/2019,9/26/2019,9/29/2019,4,4,247,0,2
1529,9/19/2019,9/28/2019,9/30/2019,10/3/2019,4,7,47,0,3
1530,9/19/2019,9/28/2019,10/2/2019,10/6/2019,4,7,66,0,2
1531,9/19/2019,9/20/2019,10/2/2019,10/2/2019,3,7,281,0,3
1532,9/19/2019,9/20/2019,10/2/2019,10/5/2019,2,5,200,0,3
1533,9/19/2019,9/29/2019,10/20/2019,10/21/2019,1,1,99,0,3
1534,9/19/2019,9/28/2019,10/20/2019,10/24/2019,1,11,26,0,3
1535,9/19/2019,9/21/2019,10/7/2019,10/9/2019,1,8,25,0,4
1536,9/19/2019,9/28/2019,10/11/2019,10/12/2019,1,7,303,0,2
1537,9/20/2019,9/20/2019,9/29/2019,9/30/2019,4,1,246,14,2
1538,9/20/2019,9/22/2019,9/27/2019,9/27/2019,4,2,341,0,2
1539,9/20/2019,9/20/2019,9/27/2019,9/29/2019,4,5,187,0,2
1540,9/20/2019,9/20/2019,9/26/2019,9/28/2019,4,4,6,0,2
1541,9/20/2019,9/29/2019,10/2/2019,10/1/2019,4,8,48,0,3
1542,9/20/2019,9/28/2019,9/30/2019,10/4/2019,4,5,235,0,2
1543,9/20/2019,9/24/2019,9/27/2019,9/28/2019,4,10,167,0,4
1544,9/20/2019,9/22/2019,10/2/2019,10/3/2019,2,6,188,0,2
1545,9/20/2019,9/21/2019,10/6/2019,10/7/2019,1,5,77,0,4
1546,9/20/2019,9/21/2019,10/9/2019,10/11/2019,1,3,68,0,3
1547,9/20/2019,9/24/2019,10/14/2019,10/18/2019,3,9,70,0,5
1548,9/20/2019,9/24/2019,10/20/2019,10/20/2019,1,1,496,0,5
1549,9/20/2019,9/21/2019,10/22/2019,10/24/2019,1,11,302,0,3
1550,9/20/2019,9/24/2019,10/11/2019,10/13/2019,1,9,117,0,2
1551,9/21/2019,10/4/2019,10/4/2019,10/6/2019,4,11,314,0,1
1552,9/21/2019,9/21/2019,9/28/2019,9/30/2019,4,8,55,0,2
1553,9/21/2019,9/29/2019,9/30/2019,10/6/2019,4,10,390,0,3
1554,9/21/2019,9/22/2019,9/29/2019,9/28/2019,4,11,45,0,5
1555,9/21/2019,9/29/2019,9/30/2019,10/7/2019,4,7,2,0,3
1556,9/21/2019,9/21/2019,9/28/2019,9/29/2019,4,6,495,0,2
1557,9/21/2019,10/2/2019,10/2/2019,10/5/2019,4,8,161,0,1
1558,9/21/2019,9/23/2019,9/29/2019,9/30/2019,4,7,68,0,1
1559,9/21/2019,10/1/2019,10/8/2019,10/14/2019,1,5,69,0,3
1560,9/21/2019,9/21/2019,10/11/2019,10/12/2019,1,11,314,0,2
1561,9/21/2019,10/2/2019,10/2/2019,10/4/2019,3,8,203,0,1
1562,9/21/2019,9/27/2019,10/14/2019,10/19/2019,2,6,21,0,3
1563,9/21/2019,9/21/2019,10/12/2019,10/11/2019,1,11,222,0,5
1564,9/22/2019,9/22/2019,10/23/2019,10/27/2019,1,11,280,0,2
1565,9/22/2019,9/30/2019,10/4/2019,10/5/2019,4,5,45,0,2
1566,9/22/2019,9/23/2019,9/28/2019,10/1/2019,4,7,158,0,4
1567,9/22/2019,10/2/2019,10/3/2019,10/9/2019,4,5,475,0,3
1568,9/22/2019,9/22/2019,9/29/2019,10/1/2019,4,9,89,0,5
1569,9/22/2019,9/26/2019,9/27/2019,10/2/2019,4,7,244,0,4
1570,9/22/2019,10/1/2019,10/1/2019,10/7/2019,4,10,20,0,1
1571,9/22/2019,9/23/2019,10/10/2019,10/13/2019,1,1,380,0,3
1572,9/22/2019,10/1/2019,10/18/2019,10/21/2019,3,9,58,0,3
1573,9/22/2019,9/23/2019,10/14/2019,10/14/2019,1,9,404,0,3
1574,9/23/2019,10/1/2019,10/22/2019,10/24/2019,1,11,196,0,2
1575,9/23/2019,9/23/2019,9/29/2019,10/2/2019,4,4,231,0,2
1576,9/23/2019,9/23/2019,10/2/2019,10/6/2019,1,11,28,0,2
1577,9/23/2019,10/3/2019,10/10/2019,10/11/2019,1,11,64,35,3
1578,9/23/2019,9/25/2019,10/5/2019,10/6/2019,3,7,140,0,5
1579,9/23/2019,10/1/2019,10/23/2019,10/25/2019,1,6,98,0,2
1580,9/24/2019,9/24/2019,10/1/2019,10/4/2019,4,1,241,0,2
1581,9/24/2019,10/2/2019,10/6/2019,10/11/2019,4,1,133,0,2
1582,9/24/2019,9/25/2019,10/2/2019,10/3/2019,4,9,227,0,3
1583,9/24/2019,9/26/2019,9/30/2019,10/5/2019,4,10,21,0,3
1584,9/24/2019,10/2/2019,10/3/2019,10/6/2019,4,4,91,0,2
1585,9/24/2019,10/2/2019,10/3/2019,10/9/2019,4,11,110,0,2
1586,9/24/2019,9/26/2019,10/9/2019,10/11/2019,1,4,336,0,1
1587,9/24/2019,9/27/2019,10/11/2019,10/13/2019,1,11,97,0,3
1588,9/24/2019,10/1/2019,10/11/2019,10/17/2019,1,8,488,0,2
1589,9/24/2019,10/2/2019,10/7/2019,10/8/2019,1,9,10,0,2
1590,9/24/2019,9/27/2019,10/5/2019,10/8/2019,3,11,90,0,1
1591,9/24/2019,10/2/2019,10/6/2019,10/5/2019,2,5,231,0,3
1592,9/24/2019,9/24/2019,10/19/2019,10/21/2019,2,5,485,0,4
1593,9/24/2019,10/4/2019,10/27/2019,10/25/2019,1,5,65,0,1
1594,9/24/2019,9/24/2019,10/16/2019,10/18/2019,1,1,86,0,2
1595,9/25/2019,10/3/2019,10/5/2019,10/9/2019,4,8,76,0,2
1596,9/25/2019,9/29/2019,10/3/2019,10/3/2019,4,11,254,0,3
1597,9/25/2019,10/5/2019,10/5/2019,10/11/2019,4,9,79,0,1
1598,9/25/2019,10/3/2019,10/12/2019,10/14/2019,1,1,41,0,3
1599,9/25/2019,9/27/2019,10/6/2019,10/8/2019,3,1,53,0,2
1600,9/25/2019,9/25/2019,10/9/2019,10/10/2019,2,11,382,0,4
1601,9/25/2019,9/25/2019,10/24/2019,10/26/2019,1,8,523,0,2
1602,9/26/2019,10/1/2019,10/26/2019,10/27/2019,1,9,16,0,1
1603,9/26/2019,9/26/2019,10/1/2019,10/4/2019,4,5,241,0,2
1604,9/26/2019,10/4/2019,10/15/2019,10/17/2019,1,2,141,0,2
1605,9/26/2019,9/26/2019,10/15/2019,10/18/2019,1,1,106,0,5
1606,9/26/2019,9/27/2019,10/10/2019,10/13/2019,2,3,254,0,3
1607,9/26/2019,10/5/2019,10/11/2019,10/14/2019,2,5,99,0,1
1608,9/26/2019,10/1/2019,10/15/2019,10/19/2019,1,7,254,0,5
1609,9/27/2019,9/27/2019,10/4/2019,10/7/2019,4,1,14,0,5
1610,9/27/2019,10/5/2019,10/7/2019,10/12/2019,4,7,114,0,2
1611,9/27/2019,10/9/2019,10/9/2019,10/12/2019,4,9,372,0,1
1612,9/27/2019,9/27/2019,10/3/2019,10/5/2019,4,6,27,0,5
1613,9/27/2019,9/28/2019,10/14/2019,10/18/2019,1,11,518,0,3
1614,9/27/2019,9/27/2019,10/14/2019,10/16/2019,1,8,412,0,2
1615,9/27/2019,9/28/2019,10/10/2019,10/13/2019,2,5,49,0,3
1616,9/27/2019,9/27/2019,10/24/2019,10/27/2019,1,9,31,0,2
1617,9/27/2019,10/6/2019,10/29/2019,10/30/2019,1,11,157,0,3
1618,9/27/2019,9/28/2019,10/19/2019,10/22/2019,1,9,197,0,3
1619,9/28/2019,9/30/2019,10/25/2019,10/28/2019,1,7,289,0,2
1620,9/28/2019,10/6/2019,10/29/2019,10/30/2019,1,9,97,0,3
1621,9/28/2019,10/5/2019,10/6/2019,10/12/2019,4,8,631,0,2
1622,9/28/2019,9/30/2019,10/5/2019,10/9/2019,4,11,98,0,1
1623,9/28/2019,10/12/2019,10/17/2019,10/19/2019,1,4,243,10,1
1624,9/28/2019,10/6/2019,10/10/2019,10/14/2019,2,8,190,0,3
1625,9/28/2019,9/28/2019,10/13/2019,10/17/2019,1,9,430,31,4
1626,9/28/2019,9/28/2019,10/12/2019,10/15/2019,2,5,90,0,2
